contrast,Budget,Fold,Replica,n_instance_seed_pairs,median_delta,mean_delta
online_minus_frozen_g200,200,2,0,20,0.002128394265110911,0.0024501089161987647
online_minus_frozen_g200,200,2,1,20,-0.0009605513174034686,-0.008806330616387987
online_minus_frozen_g200,200,2,2,20,0.0,0.0007188934140839431
online_minus_frozen_g200,200,2,3,20,-0.013270422884277044,-0.006702293542213011
online_minus_frozen_g200,200,2,4,20,-0.0006845787476956744,-0.008375151655956444
online_minus_frozen_g200,200,3,0,20,0.004514418800006859,0.019353807955063307
online_minus_frozen_g200,200,3,1,20,0.0004991452369021432,-0.0003862467753496357
online_minus_frozen_g200,200,3,2,20,0.0,0.0016373605776875688
online_minus_frozen_g200,200,3,3,20,9.982399074015547e-09,0.0029859493365314627
online_minus_frozen_g200,200,3,4,20,0.009375852433185006,0.00712871378178771
online_minus_frozen_g200,200,4,0,20,-0.001690878137068308,-0.0017848564484975239
online_minus_frozen_g200,200,4,1,20,0.0004175915939029773,0.007855122052443864
online_minus_frozen_g200,200,4,2,20,0.0,0.0041321511108938945
online_minus_frozen_g200,200,4,3,20,-0.00019484357717625134,0.0030087262432006876
online_minus_frozen_g200,200,4,4,20,0.006398986993867706,0.010086089268183995
online_minus_frozen_g200,200,5,0,20,0.0014112590858306184,0.010076612356046594
online_minus_frozen_g200,200,5,1,20,-0.00667337115600769,-0.01307096245621674
online_minus_frozen_g200,200,5,2,20,-0.015463427617789738,-0.018812562827187518
online_minus_frozen_g200,200,5,3,20,-0.004031270082660854,-0.012337615836406746
online_minus_frozen_g200,200,5,4,20,-0.006587982479583254,-0.014263821175699501
