experiment,dataset,instance,seed,budget,bc_samples,observed_actions,majority_action_share,normalized_label_entropy,bc_final_training_accuracy,bc_accuracy_minus_majority
E1,Hurink_edata,la07.fjs,49,100,61,10,0.11475409836065574,0.9932939921620006,0.3278688490390777,0.21311475067842195
E1,Hurink_edata,la07.fjs,50,100,34,10,0.11764705882352941,0.9955629627422162,0.3529411852359772,0.23529412641244776
E1,Hurink_edata,la07.fjs,51,100,34,10,0.11764705882352941,0.9955629627422163,0.4117647111415863,0.29411765231805687
E1,Hurink_edata,la08.fjs,43,100,52,10,0.11538461538461539,0.9970790628213763,0.25,0.1346153846153846
E1,Hurink_edata,la08.fjs,42,100,56,10,0.125,0.9970171984757052,0.3571428656578064,0.2321428656578064
E1,Hurink_edata,la08.fjs,45,100,60,10,0.11666666666666667,0.9963639351411915,0.3333333432674408,0.21666667660077413
E1,Hurink_edata,la08.fjs,44,100,70,10,0.11428571428571428,0.9982212903417764,0.3000000119209289,0.18571429763521463
E1,Hurink_edata,la08.fjs,47,100,59,10,0.13559322033898305,0.9907108880731775,0.3389830589294433,0.20338983859046025
E1,Hurink_edata,la08.fjs,46,100,65,10,0.1076923076923077,0.9975950457323253,0.2307692319154739,0.12307692422316621
E1,Hurink_edata,la08.fjs,48,100,70,10,0.11428571428571428,0.9982212903417764,0.3000000119209289,0.18571429763521463
E1,Hurink_edata,la08.fjs,49,100,69,10,0.11594202898550725,0.9986702666613445,0.2463768124580383,0.13043478347253107
E1,Hurink_edata,la08.fjs,50,100,67,10,0.11940298507462686,0.9949333289988542,0.2238806039094925,0.10447761883486563
E1,Hurink_edata,la08.fjs,51,100,53,10,0.1320754716981132,0.9970420213773472,0.3773584961891174,0.24528302449100417
E1,Hurink_edata,la09.fjs,42,100,70,10,0.11428571428571428,0.9982212903417764,0.2714285850524902,0.1571428707667759
E1,Hurink_edata,la09.fjs,43,100,54,10,0.12962962962962962,0.995266003143011,0.2592592537403106,0.129629624110681
E1,Hurink_edata,la09.fjs,44,100,70,10,0.11428571428571428,0.9982212903417764,0.2285714298486709,0.11428571556295662
E1,Hurink_edata,la09.fjs,47,100,70,10,0.11428571428571428,0.9982212903417764,0.2714285850524902,0.1571428707667759
E1,Hurink_edata,la09.fjs,46,100,70,10,0.11428571428571428,0.9991106451708882,0.2857142984867096,0.17142858420099533
E1,Hurink_edata,la09.fjs,45,100,70,10,0.11428571428571428,0.9982212903417764,0.2571428716182709,0.1428571573325566
E1,Hurink_edata,la09.fjs,48,100,68,10,0.11764705882352941,0.9963245565495611,0.2647058963775635,0.14705883755403407
E1,Hurink_edata,la09.fjs,49,100,58,10,0.1206896551724138,0.9964210512159125,0.3275862038135528,0.206896548641139
E1,Hurink_edata,la09.fjs,50,100,51,10,0.11764705882352941,0.9975700756729121,0.4117647111415863,0.29411765231805687
E1,Hurink_edata,la09.fjs,51,100,70,10,0.11428571428571428,0.9991106451708882,0.2428571432828903,0.128571428997176
E1,Hurink_edata,la10.fjs,42,100,70,10,0.11428571428571428,0.9991106451708882,0.2857142984867096,0.17142858420099533
E1,Hurink_edata,la10.fjs,43,100,61,10,0.11475409836065574,0.9959197089067496,0.2950819730758667,0.18032787471521095
E1,Hurink_edata,la10.fjs,44,100,60,10,0.11666666666666667,0.9963639351411915,0.3499999940395355,0.23333332737286885
E1,Hurink_edata,la10.fjs,45,100,70,10,0.11428571428571428,0.9991106451708882,0.2571428716182709,0.1428571573325566
E1,Hurink_edata,la10.fjs,46,100,62,10,0.11290322580645161,0.9956046496572377,0.3548386991024017,0.24193547329595005
E1,Hurink_edata,la10.fjs,47,100,70,10,0.11428571428571428,0.9991106451708882,0.2714285850524902,0.1571428707667759
E1,Hurink_edata,la10.fjs,48,100,70,10,0.11428571428571428,0.9991106451708882,0.2714285850524902,0.1571428707667759
